dataset,project,model,n_instances,n_features,minority_class_percentage,repeat,fold,precision,recall,f1_score,g_mean,accuracy,auc,mcc,PD,PF
AEEEM,equinox,Dummy,241,19,0.48132780082987553,1,1,0.41379310344827586,0.48,0.4444444444444444,0.37416573867739417,0.3877551020408163,0.3858333333333333,-0.23223674999012753,0.48,0.7083333333333334
AEEEM,equinox,LogisticRegression,241,19,0.48132780082987553,1,1,0.7777777777777778,0.56,0.6511627906976745,0.6831300510639733,0.6938775510204082,0.7183333333333334,0.4078676665939673,0.56,0.16666666666666666
AEEEM,equinox,GaussianNB,241,19,0.48132780082987553,1,1,0.7777777777777778,0.28,0.4117647058823529,0.5066228051190221,0.5918367346938775,0.6791666666666667,0.25389557491804177,0.28,0.08333333333333333
AEEEM,equinox,DecisionTree,241,19,0.48132780082987553,1,1,0.6111111111111112,0.44,0.5116279069767442,0.5582711408148076,0.5714285714285714,0.6191666666666668,0.15381450138501307,0.44,0.2916666666666667
AEEEM,equinox,RandomForest,241,19,0.48132780082987553,1,1,0.7,0.56,0.6222222222222222,0.6480740698407861,0.6530612244897959,0.6974999999999999,0.3152995291836768,0.56,0.25
AEEEM,equinox,KNN,241,19,0.48132780082987553,1,1,0.7777777777777778,0.56,0.6511627906976745,0.6831300510639733,0.6938775510204082,0.6841666666666667,0.4078676665939673,0.56,0.16666666666666666
AEEEM,equinox,Dummy,241,19,0.48132780082987553,1,2,0.5357142857142857,0.6,0.5660377358490566,0.5107539184552492,0.5208333333333334,0.5173913043478261,0.03524536884251207,0.6,0.5652173913043478
AEEEM,equinox,LogisticRegression,241,19,0.48132780082987553,1,2,0.7727272727272727,0.68,0.723404255319149,0.7295025106491946,0.7291666666666666,0.8695652173913043,0.46382024385259374,0.68,0.21739130434782608
AEEEM,equinox,GaussianNB,241,19,0.48132780082987553,1,2,0.9090909090909091,0.4,0.5555555555555556,0.6185537128270866,0.6666666666666666,0.8469565217391305,0.4237627068876458,0.4,0.043478260869565216
AEEEM,equinox,DecisionTree,241,19,0.48132780082987553,1,2,0.6538461538461539,0.68,0.6666666666666666,0.6433607413250058,0.6458333333333334,0.6400000000000001,0.2894517311260547,0.68,0.391304347826087
AEEEM,equinox,RandomForest,241,19,0.48132780082987553,1,2,0.75,0.72,0.7346938775510204,0.7295025106491945,0.7291666666666666,0.7721739130434783,0.4587317109255645,0.72,0.2608695652173913
AEEEM,equinox,KNN,241,19,0.48132780082987553,1,2,0.6538461538461539,0.68,0.6666666666666666,0.6433607413250058,0.6458333333333334,0.7356521739130435,0.2894517311260547,0.68,0.391304347826087
AEEEM,equinox,Dummy,241,19,0.48132780082987553,1,3,0.5,0.56,0.5283018867924528,0.4681136985632964,0.4791666666666667,0.4756521739130435,-0.0493435163795169,0.56,0.6086956521739131
AEEEM,equinox,LogisticRegression,241,19,0.48132780082987553,1,3,0.7619047619047619,0.64,0.6956521739130435,0.7077213895435063,0.7083333333333334,0.7147826086956521,0.4255796193691143,0.64,0.21739130434782608
