dataset,project,n_instances,n_features,minority_class,minority_class_percentage,nn_same_class_ratio,minority_nn_same_class_ratio,majority_nn_same_class_ratio,nn_opposite_class_ratio,borderline_instance_rate,minority_borderline_rate,class_centroid_distance,intra_class_distance_mean,inter_class_distance_mean,distance_separation_ratio,mean_feature_overlap,high_overlap_feature_rate,mean_mutual_information,zero_mi_feature_rate,pca_components_95,pca_components_95_ratio,complexity_score,complexity_level,warnings
AEEEM,equinox,241,19,0,0.48132780082987553,0.6846473029045643,0.6724137931034483,0.696,0.375103734439834,0.31950207468879666,0.3017241379310345,0.3334470572027341,0.6051394690073554,0.9090973623402423,1.5022939485859124,0.41437661596301506,0.15789473684210525,0.04171984304125329,0.3157894736842105,9,0.47368421052631576,70.14,moderate_complexity,many_borderline_instances
AEEEM,jdt,972,19,1,0.2109053497942387,0.7962962962962963,0.5024390243902439,0.8748370273794003,0.21275720164609055,0.18106995884773663,0.6341463414634146,0.2688834160901453,0.4386457583564598,0.6709207855287523,1.5295275806213022,0.43233276603547527,0.2631578947368421,0.05365605874534226,0.05263157894736842,9,0.47368421052631576,65.99,moderate_complexity,minority_class_borderline_heavy
AEEEM,lucene,539,19,1,0.11688311688311688,0.8478664192949907,0.25396825396825395,0.9264705882352942,0.1536178107606679,0.09833024118738404,0.7936507936507936,0.33842340696976714,0.5544977753914461,0.8372060633330594,1.5098456666341649,0.4051807803927936,0.15789473684210525,0.03697062944522,0.10526315789473684,6,0.3157894736842105,61.42,high_complexity,moderate_minority_difficulty;minority_class_poorly_separated;minority_class_borderline_heavy
AEEEM,mylyn,1607,19,1,0.13067828251400124,0.9041692594897324,0.580952380952381,0.952755905511811,0.10628500311138768,0.07280647168637212,0.5142857142857142,0.20305121156178743,0.42186471985286644,0.6294782895539108,1.4921330462842535,0.3574510302797248,0.21052631578947367,0.029185464796393844,0.0,8,0.42105263157894735,71.35,moderate_complexity,moderate_minority_difficulty;minority_class_borderline_heavy
AEEEM,pde,1434,19,1,0.14574616457461645,0.8361227336122734,0.40669856459330145,0.9093877551020408,0.17294281729428174,0.11854951185495119,0.6602870813397129,0.24719355285605538,0.4941016854170136,0.7383073602993077,1.494241736245422,0.5701125185205861,0.3684210526315789,0.027043012669248186,0.10526315789473684,9,0.47368421052631576,61.24,high_complexity,moderate_minority_difficulty;minority_class_poorly_separated;minority_class_borderline_heavy
BugHunter,full_Android-Universal-Image-Loader_file,160,6,1,0.4375,0.25,0.21428571428571427,0.2777777777777778,0.53625,0.5625,0.7857142857142857,0.07392847155206407,0.47785972125414145,0.6476543093310807,1.3553230802364213,0.7911205620642306,0.6666666666666666,0.005076955464933253,0.8333333333333334,3,0.5,35.3,very_high_complexity,low_neighborhood_separability;minority_class_poorly_separated;many_borderline_instances;minority_class_borderline_heavy;high_class_overlap;many_uninformative_features
BugHunter,full_BroadleafCommerce_file,2888,6,1,0.45394736842105265,0.5408587257617729,0.5156369183829138,0.5618262523779328,0.4022160664819944,0.35214681440443213,0.39969488939740655,0.1556173060037147,0.2247495851371456,0.32825387935786,1.4605316363879137,0.7320384479908003,0.6666666666666666,0.022246508904206392,0.3333333333333333,3,0.5,56.35,high_complexity,low_neighborhood_separability;many_borderline_instances
BugHunter,full_MapDB_file,537,6,0,0.49906890130353815,0.3091247672253259,0.25,0.3680297397769517,0.49534450651769085,0.5139664804469274,0.5335820895522388,0.0573761714674924,0.33973988193090243,0.46794027741905037,1.3773486785228877,0.8327702350105478,0.8333333333333334,6.2242861992301e-06,0.8333333333333334,3,0.5,38.66,very_high_complexity,low_neighborhood_separability;minority_class_poorly_separated;many_borderline_instances;minority_class_borderline_heavy;high_class_overlap;many_uninformative_features
BugHunter,full_antlr4_file,359,6,1,0.4178272980501393,0.41225626740947074,0.32666666666666666,0.47368421052631576,0.46462395543175483,0.479108635097493,0.5533333333333333,0.03574442785349012,0.2602862579808537,0.3712177526744424,1.426190362695785,0.6216712032919586,0.5,0.0008305806464402968,0.8333333333333334,4,0.6666666666666666,45.52,very_high_complexity,low_neighborhood_separability;minority_class_poorly_separated;many_borderline_instances;minority_class_borderline_heavy;many_uninformative_features
BugHunter,full_ceylon-ide-eclipse_file,965,6,1,0.3844559585492228,0.3471502590673575,0.20485175202156333,0.43602693602693604,0.4795854922279793,0.46528497409326425,0.7223719676549866,0.11877442327511727,0.3179320594648792,0.4369593241402032,1.3743795604496833,0.8298294535003853,0.8333333333333334,0.004230662048043603,0.8333333333333334,2,0.3333333333333333,37.89,very_high_complexity,low_neighborhood_separability;minority_class_poorly_separated;many_borderline_instances;minority_class_borderline_heavy;high_class_overlap;many_uninformative_features
