dataset,project,n_features,n_methods,n_importance_runs,mean_pairwise_spearman,mean_pairwise_kendall,mean_top5_jaccard,mean_top10_jaccard,mean_top20_jaccard,feature_importance_stability_score,feature_importance_stability_level,warnings
AEEEM,equinox,19,4,60,0.4637903485505497,0.35558008031519633,0.3578019908528383,0.5110723800404757,1.0,53.76,limited,limited_feature_importance_stability
AEEEM,jdt,19,4,60,0.5766237829346748,0.4503593579097567,0.41568020805308936,0.5751188077459264,1.0,60.36,limited,limited_feature_importance_stability
AEEEM,lucene,19,4,60,0.7400125205351195,0.5876224479189311,0.4653506411980988,0.6125324769392566,1.0,68.11,limited,limited_feature_importance_stability
AEEEM,mylyn,19,4,60,0.5699847670233988,0.44428160303555186,0.3866805667653125,0.5605117575456559,1.0,59.23,limited,limited_feature_importance_stability
AEEEM,pde,19,4,60,0.6330367905111012,0.4942651496727269,0.4426576091830329,0.6180115082657456,1.0,63.76,limited,limited_feature_importance_stability
ApacheJIT,dataset_apachejit_total,15,4,60,0.4576957223567392,0.3683723432875975,0.5471482378262039,0.6297926179282111,1.0,60.06,limited,limited_feature_importance_stability
BugHunter,full_Android-Universal-Image-Loader_file,6,4,60,0.17796095312072382,0.14120874275331793,0.8728813559322033,1.0,1.0,63.84,limited,limited_feature_importance_stability
BugHunter,full_BroadleafCommerce_file,6,4,60,0.7479255433051538,0.6339475584146271,0.9135593220338983,1.0,1.0,85.91,high,none
BugHunter,full_MapDB_file,6,4,60,0.2832370269638957,0.23933696635371876,0.8728813559322033,1.0,1.0,67.91,limited,limited_feature_importance_stability
BugHunter,full_antlr4_file,6,4,60,0.17728194974309336,0.14414913931003126,0.8661016949152541,1.0,1.0,63.75,limited,limited_feature_importance_stability
BugHunter,full_ceylon-ide-eclipse_file,6,4,60,0.2282395898178564,0.19309185476302596,0.8728813559322033,1.0,1.0,65.88,limited,limited_feature_importance_stability
BugHunter,full_elasticsearch_file,6,4,60,0.36782591100426215,0.3244710381743477,0.8728813559322033,1.0,1.0,71.3,moderate,none
BugHunter,full_hazelcast_file,6,4,60,0.3045957023871201,0.27902605721623286,0.8728813559322033,1.0,1.0,69.13,limited,limited_feature_importance_stability
BugHunter,full_junit_file,6,4,60,0.45822523457585584,0.39066684669141655,0.9088512241054613,1.0,1.0,75.15,moderate,none
BugHunter,full_mcMMO_file,6,4,60,0.20174898613337267,0.17209282693006314,0.8728813559322033,1.0,1.0,64.93,limited,limited_feature_importance_stability
BugHunter,full_mct_file,6,4,60,0.25652545823214,0.20222363092526757,0.8661016949152542,1.0,1.0,66.5,limited,limited_feature_importance_stability
BugHunter,full_neo4j_file,6,4,60,0.25272906060570755,0.20902965432565,0.8728813559322033,1.0,1.0,66.69,limited,limited_feature_importance_stability
BugHunter,full_netty_file,6,4,60,0.3093604323723199,0.279595027323781,0.8728813559322033,1.0,1.0,69.24,limited,limited_feature_importance_stability
BugHunter,full_orientdb_file,6,4,60,0.48872264052074266,0.44909879757461574,0.907909604519774,1.0,1.0,76.91,moderate,none
BugHunter,full_oryx_file,6,4,60,0.31378105935393646,0.2677263193424811,0.8741996233521657,1.0,1.0,69.11,limited,limited_feature_importance_stability
BugHunter,full_titan_file,6,4,60,0.21249361755053653,0.17284604260184908,0.8728813559322033,1.0,1.0,65.16,limited,limited_feature_importance_stability
JIRA,activemq-5.8.0,67,4,60,0.5048616722949226,0.38096508451098987,0.30165007622634743,0.28040052570146495,0.40667865512121765,37.49,low,unstable_feature_importance
JIRA,derby-10.5.1.1,67,4,60,0.4826545789498864,0.3620435808762293,0.16379472693032016,0.2836565330347142,0.4195882721654739,34.23,low,unstable_feature_importance
JIRA,groovy-1_6_BETA_2,67,4,60,0.37147313589880376,0.27540891720516975,0.23429064657878218,0.31680993191855344,0.3484091424699387,30.93,low,unstable_feature_importance
JIRA,hbase-0.95.2,67,4,60,0.3915645441531223,0.2961477152437484,0.20813155770782887,0.2729437684244317,0.3641164388509441,30.66,low,unstable_feature_importance
