dataset,project,path,n_instances,n_features,suspicious_feature_count,suspicious_feature_rate,suspicious_features,temporal_feature_count,temporal_features,post_release_feature_count,post_release_features,perfect_label_correlation_count,high_label_correlation_count,high_label_correlation_features,duplicate_instance_rate,cross_project_duplicate_rate,leakage_score,leakage_level,warnings
AEEEM,equinox,Data-set/AEEEM-defect-dataset/equinox.csv,241,19,5,0.2631578947368421,numberOfFixesUntil:;nonTrivialBugs;majorBugs;criticalBugs;highPriorityBugs,0,none,1,numberOfFixesUntil:,0,0,none,0.0,0.012658227848101266,77.47,moderate_leakage_risk,suspicious_feature_names;possible_post_release_features;possible_cross_project_contamination
AEEEM,jdt,Data-set/AEEEM-defect-dataset/jdt.csv,972,19,5,0.2631578947368421,numberOfFixesUntil:;nonTrivialBugs;majorBugs;criticalBugs;highPriorityBugs,0,none,1,numberOfFixesUntil:,0,0,none,0.0,0.0010309278350515464,79.79,moderate_leakage_risk,suspicious_feature_names;possible_post_release_features
AEEEM,lucene,Data-set/AEEEM-defect-dataset/lucene.csv,539,19,5,0.2631578947368421,numberOfFixesUntil:;nonTrivialBugs;majorBugs;criticalBugs;highPriorityBugs,0,none,1,numberOfFixesUntil:,0,0,none,0.0,0.00186219739292365,79.63,moderate_leakage_risk,suspicious_feature_names;possible_post_release_features
AEEEM,mylyn,Data-set/AEEEM-defect-dataset/mylyn.csv,1607,19,5,0.2631578947368421,numberOfFixesUntil:;nonTrivialBugs;majorBugs;criticalBugs;highPriorityBugs,0,none,1,numberOfFixesUntil:,0,0,none,0.0,0.0018738288569643974,79.63,moderate_leakage_risk,suspicious_feature_names;possible_post_release_features
AEEEM,pde,Data-set/AEEEM-defect-dataset/pde.csv,1434,19,5,0.2631578947368421,numberOfFixesUntil:;nonTrivialBugs;majorBugs;criticalBugs;highPriorityBugs,0,none,1,numberOfFixesUntil:,0,0,none,0.0,0.0006978367062107466,79.86,moderate_leakage_risk,suspicious_feature_names;possible_post_release_features
BugHunter,full_Android-Universal-Image-Loader_file,Data-set/BugHunterDataset-1.0/full/Android-Universal-Image-Loader/file.csv,160,6,0,0.0,none,0,none,0,none,0,0,none,0.0,0.034013605442176874,93.2,low_leakage_risk,possible_cross_project_contamination
BugHunter,full_BroadleafCommerce_file,Data-set/BugHunterDataset-1.0/full/BroadleafCommerce/file.csv,2888,6,0,0.0,none,0,none,0,none,0,0,none,0.0,0.013798390187811422,97.24,low_leakage_risk,possible_cross_project_contamination
BugHunter,full_MapDB_file,Data-set/BugHunterDataset-1.0/full/MapDB/file.csv,537,6,0,0.0,none,0,none,0,none,0,0,none,0.0,0.002061855670103093,99.59,low_leakage_risk,none
BugHunter,full_antlr4_file,Data-set/BugHunterDataset-1.0/full/antlr4/file.csv,359,6,0,0.0,none,0,none,0,none,0,0,none,0.0,0.0029154518950437317,99.42,low_leakage_risk,none
BugHunter,full_ceylon-ide-eclipse_file,Data-set/BugHunterDataset-1.0/full/ceylon-ide-eclipse/file.csv,965,6,0,0.0,none,0,none,0,none,0,0,none,0.0,0.0011627906976744186,99.77,low_leakage_risk,none
BugHunter,full_elasticsearch_file,Data-set/BugHunterDataset-1.0/full/elasticsearch/file.csv,20220,6,0,0.0,none,0,none,0,none,0,0,none,0.0,0.007437138472435368,98.51,low_leakage_risk,none
BugHunter,full_hazelcast_file,Data-set/BugHunterDataset-1.0/full/hazelcast/file.csv,17395,6,0,0.0,none,0,none,0,none,0,0,none,0.0,0.009143686502177069,98.17,low_leakage_risk,none
BugHunter,full_junit_file,Data-set/BugHunterDataset-1.0/full/junit/file.csv,191,6,0,0.0,none,0,none,0,none,0,0,none,0.0,0.011235955056179775,97.75,low_leakage_risk,possible_cross_project_contamination
BugHunter,full_mcMMO_file,Data-set/BugHunterDataset-1.0/full/mcMMO/file.csv,760,6,0,0.0,none,0,none,0,none,0,0,none,0.0,0.0029850746268656717,99.4,low_leakage_risk,none
BugHunter,full_mct_file,Data-set/BugHunterDataset-1.0/full/mct/file.csv,55,6,0,0.0,none,0,none,0,none,0,0,none,0.0,0.0,100.0,low_leakage_risk,none
BugHunter,full_neo4j_file,Data-set/BugHunterDataset-1.0/full/neo4j/file.csv,3655,6,0,0.0,none,0,none,0,none,0,0,none,0.0,0.02590837282780411,94.82,low_leakage_risk,possible_cross_project_contamination
BugHunter,full_netty_file,Data-set/BugHunterDataset-1.0/full/netty/file.csv,4566,6,0,0.0,none,0,none,0,none,0,0,none,0.0,0.011141371626640258,97.77,low_leakage_risk,possible_cross_project_contamination
BugHunter,full_orientdb_file,Data-set/BugHunterDataset-1.0/full/orientdb/file.csv,3925,6,0,0.0,none,0,none,0,none,0,0,none,0.0,0.008,98.4,low_leakage_risk,none
BugHunter,full_oryx_file,Data-set/BugHunterDataset-1.0/full/oryx/file.csv,513,6,0,0.0,none,0,none,0,none,0,0,none,0.0,0.03765690376569038,92.47,low_leakage_risk,possible_cross_project_contamination
BugHunter,full_titan_file,Data-set/BugHunterDataset-1.0/full/titan/file.csv,462,6,0,0.0,none,0,none,0,none,0,0,none,0.0,0.004878048780487805,99.02,low_leakage_risk,none
JIRA,activemq-5.8.0,Data-set/JIRA/activemq-5.8.0.csv,2825,67,9,0.13432835820895522,CountDeclMethodDefault;CountDeclClassVariable;CountDeclClassMethod;CountDeclClass;CountClassDerived;CountClassCoupled;CountClassBase;HeuBug;HeuBugCount,3,AvgCyclomaticModified;SumCyclomaticModified;MaxCyclomaticModified,0,none,0,0,none,0.0,0.0,89.93,moderate_leakage_risk,suspicious_feature_names
JIRA,derby-10.5.1.1,Data-set/JIRA/derby-10.5.1.1.csv,2681,67,9,0.13432835820895522,CountDeclMethodDefault;CountDeclClassVariable;CountDeclClassMethod;CountDeclClass;CountClassDerived;CountClassCoupled;CountClassBase;HeuBug;HeuBugCount,3,AvgCyclomaticModified;SumCyclomaticModified;MaxCyclomaticModified,0,none,0,0,none,0.0,0.0,89.93,moderate_leakage_risk,suspicious_feature_names
JIRA,groovy-1_6_BETA_2,Data-set/JIRA/groovy-1_6_BETA_2.csv,868,67,9,0.13432835820895522,CountDeclMethodDefault;CountDeclClassVariable;CountDeclClassMethod;CountDeclClass;CountClassDerived;CountClassCoupled;CountClassBase;HeuBug;HeuBugCount,3,AvgCyclomaticModified;SumCyclomaticModified;MaxCyclomaticModified,0,none,0,0,none,0.0,0.0,89.93,moderate_leakage_risk,suspicious_feature_names
JIRA,hbase-0.95.2,Data-set/JIRA/hbase-0.95.2.csv,1821,67,9,0.13432835820895522,CountDeclMethodDefault;CountDeclClassVariable;CountDeclClassMethod;CountDeclClass;CountClassDerived;CountClassCoupled;CountClassBase;HeuBug;HeuBugCount,3,AvgCyclomaticModified;SumCyclomaticModified;MaxCyclomaticModified,0,none,0,0,none,0.0,0.0011001100110011,89.71,moderate_leakage_risk,suspicious_feature_names
JIRA,hive-0.12.0,Data-set/JIRA/hive-0.12.0.csv,2537,67,9,0.13432835820895522,CountDeclMethodDefault;CountDeclClassVariable;CountDeclClassMethod;CountDeclClass;CountClassDerived;CountClassCoupled;CountClassBase;HeuBug;HeuBugCount,3,AvgCyclomaticModified;SumCyclomaticModified;MaxCyclomaticModified,0,none,0,0,none,0.0,0.0007883326763894363,89.77,moderate_leakage_risk,suspicious_feature_names
