dataset,project,path,raw_rows,raw_columns,clean_rows,clean_columns,n_features,row_retention_rate,missing_value_rate,duplicate_rate,conflicting_duplicate_rate,constant_feature_rate,near_constant_feature_rate,high_correlation_feature_rate,outlier_instance_rate,outlier_cell_rate,class_0_count,class_1_count,minority_class_count,majority_class_count,minority_class_percentage,class_imbalance_ratio,label_entropy,quality_score,quality_level,warnings
AEEEM,equinox,Data-set/AEEEM-defect-dataset/equinox.csv,324,22,241,20,19,0.7438271604938271,0.0,0.0,0.03319502074688797,0.05263157894736842,0.21052631578947367,0.3684210526315789,0.3983402489626556,0.09320140440472392,116,125,116,125,0.48132780082987553,1.0775862068965518,0.998993771841749,73.27,moderate,low_row_retention;conflicting_duplicates;constant_features;near_constant_features;many_outlier_instances
AEEEM,jdt,Data-set/AEEEM-defect-dataset/jdt.csv,997,22,972,20,19,0.9749247743229689,0.0,0.0,0.00411522633744856,0.0,0.2631578947368421,0.21052631578947367,0.43415637860082307,0.10493827160493827,767,205,205,767,0.2109053497942387,3.7414634146341466,0.7432097226661036,84.6,moderate,conflicting_duplicates;near_constant_features;many_outlier_instances
AEEEM,lucene,Data-set/AEEEM-defect-dataset/lucene.csv,691,22,539,20,19,0.7800289435600579,0.0,0.0,0.0074211502782931356,0.21052631578947367,0.21052631578947367,0.42105263157894735,0.38589981447124305,0.13058370201227343,476,63,63,476,0.11688311688311688,7.555555555555555,0.52033461578576,67.69,limited,low_row_retention;conflicting_duplicates;constant_features;near_constant_features;high_feature_redundancy;many_outlier_instances;moderate_class_imbalance
AEEEM,mylyn,Data-set/AEEEM-defect-dataset/mylyn.csv,1862,22,1607,20,19,0.8630504833512352,0.0,0.0,0.0074673304293715,0.0,0.15789473684210525,0.3684210526315789,0.37398879900435594,0.13550093341630365,1397,210,210,1397,0.13067828251400124,6.652380952380953,0.5592954474231301,80.35,moderate,conflicting_duplicates;many_outlier_instances;moderate_class_imbalance
AEEEM,pde,Data-set/AEEEM-defect-dataset/pde.csv,1497,22,1434,20,19,0.9579158316633266,0.0,0.0,0.001394700139470014,0.05263157894736842,0.21052631578947367,0.10526315789473684,0.3172942817294282,0.09596609805814826,1225,209,209,1225,0.14574616457461645,5.861244019138756,0.599091895786931,86.45,high,conflicting_duplicates;constant_features;near_constant_features;many_outlier_instances;moderate_class_imbalance
BugHunter,full_Android-Universal-Image-Loader_file,Data-set/BugHunterDataset-1.0/full/Android-Universal-Image-Loader/file.csv,171,9,160,7,6,0.935672514619883,0.0,0.0,0.1625,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.2,0.05,90,70,70,90,0.4375,1.2857142857142858,0.9886994082884974,68.72,limited,conflicting_duplicates;constant_features
BugHunter,full_BroadleafCommerce_file,Data-set/BugHunterDataset-1.0/full/BroadleafCommerce/file.csv,3561,9,2888,7,6,0.8110081437798371,0.0,0.0,0.19321329639889195,0.16666666666666666,0.16666666666666666,0.0,0.20498614958448755,0.12240304709141274,1577,1311,1311,1577,0.45394736842105265,1.2028985507246377,0.9938718534469512,69.73,limited,conflicting_duplicates;constant_features;many_outlier_instances
BugHunter,full_MapDB_file,Data-set/BugHunterDataset-1.0/full/MapDB/file.csv,588,9,537,7,6,0.9132653061224489,0.0,0.0,0.19366852886405958,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.29236499068901306,0.09683426443202979,268,269,268,269,0.49906890130353815,1.0037313432835822,0.9999974985246773,66.17,limited,conflicting_duplicates;constant_features;many_outlier_instances
BugHunter,full_antlr4_file,Data-set/BugHunterDataset-1.0/full/antlr4/file.csv,379,9,359,7,6,0.9472295514511874,0.0,0.0,0.08913649025069638,0.16666666666666666,0.16666666666666666,0.0,0.43175487465181056,0.11197771587743732,209,150,150,209,0.4178272980501393,1.3933333333333333,0.9804281614573505,69.34,limited,conflicting_duplicates;constant_features;many_outlier_instances
BugHunter,full_ceylon-ide-eclipse_file,Data-set/BugHunterDataset-1.0/full/ceylon-ide-eclipse/file.csv,1164,9,965,7,6,0.8290378006872853,0.0,0.0,0.21761658031088082,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16580310880829016,0.1,594,371,371,594,0.3844559585492228,1.601078167115903,0.9611284249202376,67.11,limited,conflicting_duplicates;constant_features
BugHunter,full_elasticsearch_file,Data-set/BugHunterDataset-1.0/full/elasticsearch/file.csv,25120,9,20220,7,6,0.8049363057324841,0.0,0.0,0.32423343224530166,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.2780909990108803,0.10918892185954501,10403,9817,9817,10403,0.48550939663699305,1.059692370377916,0.9993940479156003,64.08,limited,conflicting_duplicates;constant_features;many_outlier_instances
BugHunter,full_hazelcast_file,Data-set/BugHunterDataset-1.0/full/hazelcast/file.csv,23353,9,17395,7,6,0.7448721791632766,0.0,0.0,0.4156366772060937,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.1973555619430871,0.1111957459039954,8584,8811,8584,8811,0.4934751365334866,1.026444547996272,0.9998771543681118,64.54,limited,low_row_retention;conflicting_duplicates;constant_features
BugHunter,full_junit_file,Data-set/BugHunterDataset-1.0/full/junit/file.csv,203,9,191,7,6,0.9408866995073891,0.0,0.0,0.13612565445026178,0.16666666666666666,0.16666666666666666,0.0,0.418848167539267,0.10890052356020943,103,88,88,103,0.4607329842931937,1.1704545454545454,0.9955464367270908,67.86,limited,conflicting_duplicates;constant_features;many_outlier_instances
BugHunter,full_mcMMO_file,Data-set/BugHunterDataset-1.0/full/mcMMO/file.csv,880,9,760,7,6,0.8636363636363636,0.0,0.0,0.23684210526315788,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.4026315789473684,0.13263157894736843,441,319,319,441,0.41973684210526313,1.3824451410658307,0.9813311469074479,62.61,limited,conflicting_duplicates;constant_features;many_outlier_instances
BugHunter,full_mct_file,Data-set/BugHunterDataset-1.0/full/mct/file.csv,58,9,55,7,6,0.9482758620689655,0.0,0.0,0.10909090909090909,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.2727272727272727,0.14181818181818182,41,14,14,41,0.2545454545454545,2.9285714285714284,0.8184033299219706,67.38,limited,conflicting_duplicates;constant_features;many_outlier_instances
BugHunter,full_neo4j_file,Data-set/BugHunterDataset-1.0/full/neo4j/file.csv,3944,9,3655,7,6,0.9267241379310345,0.0,0.0,0.26812585499316005,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.1838577291381669,0.09220246238030096,1958,1697,1697,1958,0.4642954856361149,1.153800824985268,0.9963185365859188,68.88,limited,conflicting_duplicates;constant_features
