dataset,project_a,project_b,n_a,n_b,n_common_features,feature_set_jaccard,label_prevalence_a,label_prevalence_b,label_prevalence_abs_diff,mean_ks_statistic,median_ks_statistic,max_ks_statistic,mean_ks_pvalue,mean_wasserstein_distance,median_wasserstein_distance,max_wasserstein_distance,mean_feature_mean_shift,mean_feature_std_shift,project_size_ratio,pairwise_stability_score,pairwise_stability_level,warnings
AEEEM,equinox,jdt,241,972,19,1.0,0.5186721991701245,0.2109053497942387,0.30776684937588583,0.22880532615797472,0.18725560507487662,0.6635802469135802,0.22413075210497127,0.052605086133801986,0.01320556319598975,0.31942505755529377,0.051630227674495516,0.04528198366697239,0.24794238683127573,72.92,moderate,large_label_distribution_shift;large_project_size_mismatch
AEEEM,equinox,lucene,241,539,19,1.0,0.5186721991701245,0.11688311688311688,0.40178908228700766,0.18571837796247367,0.19611390387916766,0.35720059430788537,0.21268931670907604,0.037479671010939526,0.030711819374515725,0.1277110607967879,0.02929768066131472,0.05826441809124994,0.44712430426716143,72.61,moderate,large_label_distribution_shift
AEEEM,equinox,mylyn,241,1607,19,1.0,0.5186721991701245,0.13067828251400124,0.38799391665612326,0.2423204986156737,0.20171345797819187,0.6591674907755747,0.20760165262437127,0.04884540074701159,0.016079774064696125,0.38803617816766867,0.04535551855653734,0.04556175051249191,0.14996888612321096,68.51,limited,large_label_distribution_shift;large_project_size_mismatch
AEEEM,equinox,pde,241,1434,19,1.0,0.5186721991701245,0.14574616457461645,0.3729260345955081,0.14846718525510463,0.17839140725822786,0.3306972921983599,0.2676435670312286,0.0328771557797151,0.027529965274518384,0.10048091112692929,0.026022381553304302,0.04018112618677171,0.16806136680613668,72.1,moderate,large_label_distribution_shift;large_project_size_mismatch
AEEEM,jdt,lucene,972,539,19,1.0,0.2109053497942387,0.11688311688311688,0.09402223291112181,0.2988486729088233,0.2871553784252197,0.7242588393382045,0.20769368873228972,0.04611401679658326,0.0174353217890761,0.30531348629211585,0.04109652888735381,0.051721617347652536,0.5545267489711934,82.95,moderate,moderate_feature_distribution_shift
AEEEM,jdt,mylyn,972,1607,19,1.0,0.2109053497942387,0.13067828251400124,0.08022706728023746,0.38428889392964694,0.39231525655504085,0.8620061152212158,0.15672118319759443,0.06941522841311366,0.018968480871100986,0.5645139929870499,0.06913401211048138,0.05661171952217972,0.6048537647790915,81.22,moderate,moderate_feature_distribution_shift
AEEEM,jdt,pde,972,1434,19,1.0,0.2109053497942387,0.14574616457461645,0.06515918521962225,0.22414231378850039,0.1443256366547859,0.8188138161406409,0.21079567841539956,0.03799846924074408,0.014610850375955569,0.2987641568985459,0.03555324782268834,0.038637862396971284,0.6778242677824268,87.45,high,none
AEEEM,lucene,mylyn,539,1607,19,1.0,0.11688311688311688,0.13067828251400124,0.013795165630884357,0.16729725865508696,0.16512982972223794,0.44638657635368456,0.16044487293576773,0.03312005741182851,0.005705819171838157,0.25835647667928757,0.03222795171920994,0.05184902503099396,0.33540759178593654,87.54,high,none
AEEEM,lucene,pde,539,1434,19,1.0,0.11688311688311688,0.14574616457461645,0.02886304769149957,0.164402474969688,0.1827859329353651,0.3015502130863757,0.19538100766957778,0.019939439785631813,0.01543707196512253,0.06058533520204773,0.011955873674235123,0.03133018497104796,0.37587168758716877,87.92,high,none
AEEEM,mylyn,pde,1607,1434,19,1.0,0.13067828251400124,0.14574616457461645,0.015067882060615212,0.21908291739677963,0.23042668103893443,0.4949250099156497,0.13948682371082247,0.03842868843941649,0.011769680937391239,0.24801802004557955,0.03766801534864487,0.037764873907922304,0.8923459863098943,91.7,high,none
BugHunter,full_Android-Universal-Image-Loader_file,full_BroadleafCommerce_file,160,2888,6,1.0,0.4375,0.45394736842105265,0.016447368421052655,0.21053497229916895,0.17119113573407202,0.5510907202216067,0.17161346626630783,0.037628888846382456,0.03897729240033837,0.06272707391748068,0.03480054390799656,0.05875893516790696,0.055401662049861494,83.43,moderate,large_project_size_mismatch
BugHunter,full_Android-Universal-Image-Loader_file,full_MapDB_file,160,537,6,1.0,0.4375,0.5009310986964618,0.0634310986964618,0.3814497982619491,0.4674231843575419,0.6987546554934823,0.17615585491635752,0.09543459677627086,0.10905692517988026,0.16209627787618658,0.09306746889351175,0.12576954067139332,0.297951582867784,77.91,moderate,moderate_feature_distribution_shift
BugHunter,full_Android-Universal-Image-Loader_file,full_antlr4_file,160,359,6,1.0,0.4375,0.4178272980501393,0.019672701949860705,0.2973566620241411,0.29151288300835654,0.6779073816155989,0.1749398372622233,0.05705098686429181,0.05154482733673636,0.13093340555039723,0.049653782512217644,0.06702614278300682,0.4456824512534819,84.55,moderate,moderate_feature_distribution_shift
BugHunter,full_Android-Universal-Image-Loader_file,full_ceylon-ide-eclipse_file,160,965,6,1.0,0.4375,0.3844559585492228,0.05304404145077718,0.36990500863557857,0.39347474093264245,0.5886981865284974,0.16666666666666666,0.10343899763431436,0.11952864272500038,0.1369446588027781,0.10340594210774928,0.14922667292833747,0.16580310880829016,76.96,moderate,moderate_feature_distribution_shift;large_project_size_mismatch
BugHunter,full_Android-Universal-Image-Loader_file,full_elasticsearch_file,160,20220,6,1.0,0.4375,0.48550939663699305,0.04800939663699305,0.2228507253544345,0.20281899109792284,0.5713773491592482,0.17223575133860783,0.0285767986901533,0.03143110244731484,0.05584547629704535,0.02744406394273804,0.03822488080937215,0.00791295746785361,81.69,moderate,large_project_size_mismatch
BugHunter,full_Android-Universal-Image-Loader_file,full_hazelcast_file,160,17395,6,1.0,0.4375,0.5065248634665134,0.06902486346651338,0.23314619862029315,0.1792002012072434,0.5752317476286288,0.16839760638868354,0.03019971875565187,0.024362621788346688,0.07329646669827884,0.028823665544989857,0.05196831974097955,0.009198045415349238,80.5,moderate,large_project_size_mismatch
BugHunter,full_Android-Universal-Image-Loader_file,full_junit_file,160,191,6,1.0,0.4375,0.4607329842931937,0.023232984293193704,0.25140706806282725,0.2257198952879581,0.4699607329842932,0.17246160268586821,0.08103721925076705,0.07199163787421685,0.19314048214425256,0.07884760591971529,0.06256214625945043,0.837696335078534,88.85,high,moderate_feature_distribution_shift
BugHunter,full_Android-Universal-Image-Loader_file,full_mcMMO_file,160,760,6,1.0,0.4375,0.41973684210526313,0.01776315789473687,0.23684210526315788,0.19407894736842107,0.6375,0.1677874657798271,0.045167729151296354,0.04394434328995611,0.10610801844354477,0.04307376658634036,0.06126696878872176,0.21052631578947367,84.06,moderate,large_project_size_mismatch
BugHunter,full_Android-Universal-Image-Loader_file,full_mct_file,160,55,6,1.0,0.4375,0.2545454545454545,0.18295454545454548,0.2734848484848485,0.25198863636363633,0.61875,0.17931264539094002,0.07287155338784322,0.0853526097139792,0.1343344155844156,0.06870286268476937,0.1251038513146109,0.34375,76.88,moderate,moderate_label_distribution_shift;moderate_feature_distribution_shift
BugHunter,full_Android-Universal-Image-Loader_file,full_neo4j_file,160,3655,6,1.0,0.4375,0.4642954856361149,0.02679548563611489,0.26319111947104423,0.23284028727770179,0.5875598495212039,0.16690858968189878,0.03249233653753649,0.030281407161397596,0.07505826620053703,0.03136677482048198,0.03443813406173543,0.04377564979480164,81.81,moderate,moderate_feature_distribution_shift;large_project_size_mismatch
BugHunter,full_Android-Universal-Image-Loader_file,full_netty_file,160,4566,6,1.0,0.4375,0.4231274638633377,0.014372536136662284,0.18808630822017813,0.17672470433639947,0.4024118484450285,0.16925948621650444,0.024367232433717485,0.025357042039534098,0.04311900468464795,0.023401611659618734,0.041216922831713076,0.03504161191414805,84.27,moderate,large_project_size_mismatch
BugHunter,full_Android-Universal-Image-Loader_file,full_orientdb_file,160,3925,6,1.0,0.4375,0.45554140127388537,0.01804140127388537,0.3089132165605096,0.2953980891719745,0.7049442675159235,0.16666674711377183,0.0325040853500692,0.020175923149330397,0.10428685763830994,0.027714826287936006,0.060025128904054426,0.04076433121019108,80.9,moderate,moderate_feature_distribution_shift;large_project_size_mismatch
BugHunter,full_Android-Universal-Image-Loader_file,full_oryx_file,160,513,6,1.0,0.4375,0.15009746588693956,0.28740253411306044,0.2878086419753087,0.3151681286549708,0.49519980506822614,0.16666714350743614,0.09306989688080865,0.09978222536984253,0.17206311279858014,0.08980944595456893,0.07527441134021766,0.31189083820662766,71.76,moderate,large_label_distribution_shift;moderate_feature_distribution_shift
BugHunter,full_Android-Universal-Image-Loader_file,full_titan_file,160,462,6,1.0,0.4375,0.4025974025974026,0.03490259740259738,0.22999188311688312,0.1797077922077922,0.6369318181818182,0.1702240549600408,0.06299384528648476,0.04920748948361313,0.18307359307359308,0.06060564836687416,0.08820388460864403,0.3463203463203463,84.33,moderate,none
BugHunter,full_BroadleafCommerce_file,full_MapDB_file,2888,537,6,1.0,0.45394736842105265,0.5009310986964618,0.04698373027540914,0.24810481007478025,0.27782269920611585,0.3889110272004622,0.16666666668706523,0.07873159850694957,0.08010356531081077,0.13408948864755788,0.07827019772996546,0.09355130467936935,0.18594182825484765,81.35,moderate,large_project_size_mismatch
BugHunter,full_BroadleafCommerce_file,full_antlr4_file,2888,359,6,1.0,0.45394736842105265,0.4178272980501393,0.03612007037091336,0.2265446364040875,0.26550744990316283,0.34797239947839104,0.16666667213041564,0.02292703704785751,0.02368037173014908,0.044472024539590295,0.019070143323876968,0.016532280302176235,0.12430747922437674,83.52,moderate,large_project_size_mismatch
BugHunter,full_BroadleafCommerce_file,full_ceylon-ide-eclipse_file,2888,965,6,1.0,0.45394736842105265,0.3844559585492228,0.06949140987182983,0.2740281385902717,0.33451588133136223,0.4942222955807845,0.16666905934633425,0.0570174010771665,0.059093543612571596,0.1091819235975092,0.05620572237238806,0.08380551668559567,0.33414127423822715,81.87,moderate,moderate_feature_distribution_shift
BugHunter,full_BroadleafCommerce_file,full_elasticsearch_file,2888,20220,6,1.0,0.45394736842105265,0.48550939663699305,0.031562028215940396,0.07769774858824402,0.0698846620690411,0.16371691175463254,0.16692209241773368,0.011499615277394576,0.010698928733424339,0.024029874166677963,0.01079372943567418,0.014031607124592333,0.14282888229475765,87.87,high,large_project_size_mismatch
BugHunter,full_BroadleafCommerce_file,full_hazelcast_file,2888,17395,6,1.0,0.45394736842105265,0.5065248634665134,0.05257749504546072,0.10590408630386726,0.07220108342974349,0.3270630112292274,0.1666666808698788,0.009445574911948864,0.009788367309802346,0.015701205583903362,0.007472131869653616,0.024353049832801177,0.16602471974705374,86.57,high,large_project_size_mismatch
BugHunter,full_BroadleafCommerce_file,full_junit_file,2888,191,6,1.0,0.45394736842105265,0.4607329842931937,0.006785615872141049,0.23281388232222885,0.2379950979681223,0.38848421342692635,0.16666667088634268,0.04318940224521637,0.048903186759941535,0.07780287767091887,0.0419508201972241,0.0614222870520684,0.06613573407202217,83.2,moderate,large_project_size_mismatch
BugHunter,full_BroadleafCommerce_file,full_mcMMO_file,2888,760,6,1.0,0.45394736842105265,0.41973684210526313,0.034210526315789525,0.15669436749769158,0.17257617728531854,0.2708448753462604,0.16685931701316914,0.02931424328530406,0.028810025981709828,0.056657508741655684,0.01578618976456724,0.021402859485331726,0.2631578947368421,86.64,high,none
BugHunter,full_BroadleafCommerce_file,full_mct_file,2888,55,6,1.0,0.45394736842105265,0.2545454545454545,0.19940191387559814,0.1785412994208008,0.20814341475698817,0.2429740619491312,0.1862167936892266,0.039003251112531605,0.04400862600400827,0.06248843794090123,0.037767398827217614,0.07492761264164881,0.019044321329639888,76.41,moderate,moderate_label_distribution_shift;large_project_size_mismatch
BugHunter,full_BroadleafCommerce_file,full_neo4j_file,2888,3655,6,1.0,0.45394736842105265,0.4642954856361149,0.010348117215062236,0.15074876243095317,0.09073035836765937,0.4288962109355757,0.166669250151855,0.015732648004974183,0.009619105512917107,0.0512925552160725,0.014964821535315287,0.022083603717560324,0.7901504787961696,93.22,high,none
BugHunter,full_BroadleafCommerce_file,full_netty_file,2888,4566,6,1.0,0.45394736842105265,0.4231274638633377,0.03081990455771494,0.1165040319694041,0.14567438419341805,0.17864139132671572,0.16666671461838653,0.012490269842589621,0.011019899111321318,0.024733009682079254,0.011804955578661597,0.01453631055614777,0.6325010950503723,91.8,high,none
BugHunter,full_BroadleafCommerce_file,full_orientdb_file,2888,3925,6,1.0,0.45394736842105265,0.45554140127388537,0.0015940328528327163,0.12937636372190953,0.17566173227235032,0.20078435697019956,0.16753858698993238,0.016651925859159672,0.015345170429664295,0.041888197720397216,0.01657936778331088,0.04465128763956905,0.7357961783439491,93.42,high,none
BugHunter,full_BroadleafCommerce_file,full_oryx_file,2888,513,6,1.0,0.45394736842105265,0.15009746588693956,0.3038499025341131,0.23577767518210732,0.25277008310249305,0.40899764029957936,0.16666666666667906,0.049883397555788654,0.059870366298411054,0.08363110951916557,0.049784393995943,0.07781503287659931,0.17763157894736842,72.09,moderate,large_label_distribution_shift;large_project_size_mismatch
